name,id,brewer,alcohol_by_volume,style,category,country
Cambonator Doppelbock,929,Allguer Brauhaus AG Kempten,7.1999998093,Traditional German-Style Bock,German Lager,Germany
Kapuziner Gold,2643,Kulmbacher Brauerei AG,0.0,South German-Style Hefeweizen,German Ale,Germany
Premium Pilsener,2881,Brauerei Herrenhausen,4.9000000954,NA,NA,Germany
Paulaner Oktoberfest,4470,Paulaner,6.0,German-Style Oktoberfest,German Lager,Germany
Pils,512,Alpirsbacher Klosterbru,4.9000000954,NA,NA,Germany
KÃ¶nig Ludwig Weissbier Dunkel,548,Knig Ludwig Schlobrauerei Kaltenberg,0.0,NA,NA,Germany
Das Schwarze / Dark,581,Dinkelacker-Schwaben Bru,4.9000000954,NA,NA,Germany
Weizen,590,Brauhaus Johann Albrecht - Konstanz,0.0,South German-Style Hefeweizen,German Ale,Germany
Pils,827,Brauerei Schwelm,4.6999998093,NA,NA,Germany
Flensburger Pilsner,5311,Flensburger Brauerei,4.8000001907,German-Style Pilsener,German Lager,Germany
Jever Pilsener,5325,Jever Brewery,4.9000000954,German-Style Pilsener,German Lager,Germany
WernesgrÃ¼ner Pils Legende,5326,WernesgrÃ¼ner Brauerei GmbH,4.9000000954,German-Style Pilsener,German Lager,Germany
Alt,3195,Diebels Privatbrauerei,4.9000000954,American-Style Brown Ale,North American Ale,Germany
Original Munich Premium Lager,3235,Paulaner,0.0,NA,NA,Germany
WaldschlÃ¶sschen Dunkel,4267,Brauhaus am WaldschlÃ¶sschen,5.0,German-Style Schwarzbier,German Lager,Germany
Pils,241,Spaten-Franziskaner-BrÃ¤u,5.0,NA,NA,Germany
Christmas Bock,474,Bamberger Mahr's-Bru,6.0,Traditional German-Style Bock,German Lager,Germany
Schwarze,508,Barfer - das kleine Brauhaus,0.0,German-Style Schwarzbier,German Lager,Germany
Hefe Weizen Dunkel,584,Ruppaner-Brauerei,0.0,NA,NA,Germany
Aecht Schlenkerla Rauchbier Urbock,4241,Heller Bru Trum,6.0,Traditional German-Style Bock,German Lager,Germany
Celebrator,4306,Brauerei Aying Franz Inselkammer KG,6.6999998093,German-Style Doppelbock,German Lager,Germany
Schneider Weisse,4583,Private Weissbierbrauerei G. Schneider & Sohn GmbH,5.4000000954,Light American Wheat Ale or Lager,Other Style,Germany
HofbrÃ¤u Oktoberfestbier,5111,Staatliches HofbrÃ¤uhaus in MÃ¼nchen,6.3000001907,German-Style Oktoberfest,German Lager,Germany
Weisse,479,Bamberger Mahr's-Bru,4.9000000954,South German-Style Hefeweizen,German Ale,Germany
BrÃ¤ustatt Pils,522,Simmerberg Brusttt und Taferne,0.0,NA,NA,Germany
Schimmele Hefe Pils,585,Ruppaner-Brauerei,0.0,NA,NA,Germany
Alt,866,Uerige Obergrige Hausbrauerei,4.5,American-Style Brown Ale,North American Ale,Germany
Schierlinger Roggen,3017,Frstliche Brauerei Thurn Und Taxis Regensburg,0.0,American-Style Lager,North American Lager,Germany
Pilsener,1589,Radeberger Exportbierbrauerei,4.8000001907,German-Style Pilsener,German Lager,Germany
Dunkel,1661,Schlobrauerei Reckendorf,0.0,NA,NA,Germany
Zwergla,1678,Brauerei Fssla,6.0,NA,NA,Germany
Helles Hefe Weizen,1995,Tucher Bru,5.3000001907,South German-Style Hefeweizen,German Ale,Germany
KÃ¶lsch,2230,Brauerei Reissdorf,0.0,NA,NA,Germany
SchÃ¶fferhofer Hefeweizen Hell,4280,SchÃ¶fferhofer,5.0,South German-Style Hefeweizen,German Ale,Germany
Hefeweizen,4471,Paulaner,5.5,South German-Style Hefeweizen,German Ale,Germany
Konig Ludwig Weissbier,5189,Warsteiner Brauerei,5.5,South German-Style Hefeweizen,German Ale,Germany
Weisse Hefe-Weizen,3182,Private Weissbierbrauerei G. Schneider & Sohn GmbH,5.4000000954,South German-Style Hefeweizen,German Ale,Germany
Vetter 33,4317,Vetterï¿½s Alt Heidelberger Brauhaus,37.0,NA,NA,Germany
CD-Pils,5320,Dinkelacker-Schwaben Bru,4.9000000954,German-Style Pilsener,German Lager,Germany
SchÃ¶fferhofer Hefeweizen alkoholfrei,4279,SchÃ¶fferhofer,0.0,South German-Style Hefeweizen,German Ale,Germany
Optimator,4310,Spaten-Franziskaner-BrÃ¤u,7.1999998093,German-Style Doppelbock,German Lager,Germany
Julius Echter Hefe-WeiÃŸbier Hell,4426,Wrzburger Hofbru AG,0.0,South German-Style Hefeweizen,German Ale,Germany
Traditional,2358,Dortmunder Actien Brauerei  DAB,0.0,American-Style Brown Ale,North American Ale,Germany
Organic Ur Pils,2381,Brauerei und Altbierkche Pinkus Mller,0.0,NA,NA,Germany
Hefeweissbier Dunkel,2660,Bayerische Staatsbrauerei Weihenstephan,5.3000001907,NA,NA,Germany
Dunkles Hefe Weizen,2661,Tucher Bru,5.3000001907,NA,NA,Germany
Original Lager,2716,Bayerische Staatsbrauerei Weihenstephan,5.0999999046,NA,NA,Germany
Sticke,865,Uerige Obergrige Hausbrauerei,6.0,American-Style Brown Ale,North American Ale,Germany
Will-BrÃ¤u Ur-Bock,910,Hochstiftliches Brauhaus in Bayern,0.0,Traditional German-Style Bock,German Lager,Germany
Hefe-Weizen Hell,913,Klosterbrauerei Weltenburg,0.0,South German-Style Hefeweizen,German Ale,Germany
Rauchbier,3376,Kaiserdom Privatbrauerei Bamberg,0.0,NA,NA,Germany
