name,id,brewer,alcohol_by_volume,style,category,country
Timmermans Forest Fruit,5415,Timmermans,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Achel Bruin 8Â°,4706,Brouwerij der Sint-Benedictusabdij de Achelse Kluis,8.0,Belgian-Style Dubbel,Belgian and French Ale,Belgium
Montagnarde,2554,Brasserie De L'Abbaye Des Rocs,9.0,NA,NA,Belgium
Blanche des Honnelles,2555,Brasserie De L'Abbaye Des Rocs,6.0,NA,NA,Belgium
SpÃ©ciale NoÃ«l,2556,Brasserie De L'Abbaye Des Rocs,0.0,NA,NA,Belgium
Abbaye de Floreffe Double,2614,Brasserie Lefebvre,6.3000001907,NA,NA,Belgium
St.Hermes Abbey Ale,2688,Brasserie Clarysse,0.0,NA,NA,Belgium
Affligem NoÃ«l,2731,Brouwerij De Smedt,0.0,NA,NA,Belgium
Chapeau Tropical Lambic,2922,Brewery De Troch,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Grand Cru of the Emperor,2345,Brouwerij Het Anker,8.0,NA,NA,Belgium
Blanche de Bruxelles Mannekin Pis,2380,Brasserie Lefebvre,0.0,NA,NA,Belgium
Abbaye de Saint-Martin Brune,5660,Brasserie de Brunehaut,8.0,Belgian-Style Dark Strong Ale,Belgian and French Ale,Belgium
Tournay Black,5677,Brasserie de Cazeau,7.5999999046,Belgian-Style Dark Strong Ale,Belgian and French Ale,Belgium
6,3912,Abbaye de Maredsous,6.0,Golden or Blonde Ale,North American Ale,Belgium
Vlas Kop,2685,Brouwerij Strubbe,5.5,NA,NA,Belgium
Framboise 1997,2763,Brouwerij Boon,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Chapeau PÃªche Lambic,2926,Brewery De Troch,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
St. Sebastiaan Dark,2929,Brouwerij Sterkens,0.0,NA,NA,Belgium
Chimay Triple (Chimay White),4073,Chimay (Abbaye Notre Dame de Scourmont),8.0,Belgian-Style Tripel,Belgian and French Ale,Belgium
Blanche de Bruges,3131,Brouwerij de Gouden Boom,5.0,NA,NA,Belgium
embrasse,5176,de dochter van de korenaar,9.0,Belgian-Style Dark Strong Ale,Belgian and French Ale,Belgium
Timmermans lambicus Blanche,5419,Timmermans,0.0,NA,NA,Belgium
Drie Fonteinen Kriek,5608,3 Fonteinen Brouwerij Ambachtelijke Geuzestekerij,5.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
All Saints Belgian White Ale,2319,Liefmans Breweries,0.0,NA,NA,Belgium
Belgian Burgundy Ale,2557,Brasserie De L'Abbaye Des Rocs,9.0,NA,NA,Belgium
All Saints Belgian Golden Ale,2719,Liefmans Breweries,0.0,NA,NA,Belgium
Bruegel Amber Ale,2747,Brouwerij Van Steenberge,5.1999998093,American-Style Amber/Red Ale,North American Ale,Belgium
XX Bitter,857,Brouwerij De Ranke,6.0,NA,NA,Belgium
Mort Subite Gueuze Lambic,3567,Brouwerij De Keersmaeker,4.5,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Alexander,2324,Brouwerij Rodenbach,0.0,NA,NA,Belgium
Framboise,2329,Brouwerij Lindemans,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Gluhkriek,2353,Brouwerij Liefmans,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Chapeau Mirabelle Lambic,2928,Brewery De Troch,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Lambic 2002,959,Brasserie-Brouwerij Cantillon,0.0,NA,NA,Belgium
St. Paul Blond,3015,Brouwerij Sterkens,0.0,NA,NA,Belgium
Monk Brown Ale,3129,Brewery Corsendonk,0.0,NA,NA,Belgium
Delirium Tremens,4485,Brouwerij Huyghe,8.5,Belgian-Style Pale Strong Ale,Belgian and French Ale,Belgium
Augustijn Ale,2344,Brouwerij Van Steenberge,8.0,NA,NA,Belgium
Foret Saison,2552,Brasserie Dupont,0.0,NA,NA,Belgium
Duinen Tripel,2872,Brouwerij Huyghe,0.0,NA,NA,Belgium
Poorter,2920,Brouwerij Sterkens,0.0,NA,NA,Belgium
Saison 1900,3185,Brasserie Lefebvre,5.1999998093,NA,NA,Belgium
Mont St. Aubert,5666,Brasserie de Brunehaut,8.0,NA,NA,Belgium
Abbaye de St Amand,5667,Brasserie de Brunehaut,7.0,Other Belgian-Style Ales,Belgian and French Ale,Belgium
