name,id,brewer,alcohol_by_volume,style,category,country
Collapsar Oatmeal Stout,1976,Empyrean Brewing Company,0.0,American-Style Stout,North American Ale,United States
Hocus Pocus,1,Magic Hat,4.5,Light American Wheat Ale or Lager,Other Style,United States
Red Sled Winter Ale,53,Nebraska Brewing Company,0.0,NA,NA,United States
Warrior IPA,74,Left Hand Brewing Company,6.5999999046,American-Style India Pale Ale,North American Ale,United States
Whitetail Wheat,94,Montana Brewing,0.0,American-Style Lager,North American Lager,United States
Brunette Nut Brown Ale,96,Nebraska Brewing Company,0.0,American-Style Brown Ale,North American Ale,United States
Light Lager,1011,Iron Hill Brewery - Wilmingon,0.0,American-Style Lager,North American Lager,United States
Brau Light,1012,Brauhaus Brew Hall,0.0,American-Style Lager,North American Lager,United States
Saint Peter Red,1016,Bandana Brewery,0.0,American-Style Amber/Red Ale,North American Ale,United States
Anniversary Ale,1018,Bandana Brewery,9.0,Old Ale,British Ale,United States
Roza Reserve,1037,Snipes Mountain Microbrewery & Restaurant,0.0,NA,NA,United States
El NiÃ±o IPA,1052,"Fitger's Brewhouse, Brewery and Grill",0.0,American-Style India Pale Ale,North American Ale,United States
Lighthouse Ale,1055,"Fitger's Brewhouse, Brewery and Grill",4.4000000954,American-Style Lager,North American Lager,United States
Nut Brown Ale,1059,South Shore Brewery,4.1999998093,American-Style Brown Ale,North American Ale,United States
Kellerbier,1092,Triumph Brewing of New Hope,0.0,NA,NA,United States
Pale,1114,Left Coast Brewing,0.0,American-Style Pale Ale,North American Ale,United States
Peat Smoked Altbier,1128,Three Needs Brewery and Taproom,0.0,American-Style Lager,North American Lager,United States
Singletrack Copper Ale,1139,Denver ChopHouse and Brewery,5.5700001717,American-Style Pale Ale,North American Ale,United States
Lucky U ESB,1160,Rock Bottom Restaurant & Brewery - Denver,5.0999999046,NA,NA,United States
Tripel Vision,1173,Minneapolis Town Hall Brewery,0.0,NA,NA,United States
Kabeelo Lodge Lager,1184,Green Mill Brewing - Saint Paul,0.0,American-Style Lager,North American Lager,United States
Light Amber Ale,1189,O'Gara's Bar & Grill,0.0,American-Style Amber/Red Ale,North American Ale,United States
Vertical Epic 04.04.04,1225,Stone Brewing Co.,8.5,NA,NA,United States
Four Brothers Pale Ale,1243,Coronado Brewing Company,0.0,American-Style Pale Ale,North American Ale,United States
X-Tra Pale,1263,San Marcos Brewery & Grill,0.0,American-Style Pale Ale,North American Ale,United States
Old English Ale,1266,San Marcos Brewery & Grill,0.0,Old Ale,British Ale,United States
Premium Golden Ale,1268,San Marcos Brewery & Grill,0.0,NA,NA,United States
Pale Ale,1285,Sports City Cafe & Brewery,0.0,American-Style Pale Ale,North American Ale,United States
Downtown After Dark,1290,Karl Strauss Brewery Gardens - Sorrento Mesa,12.0,American-Style Brown Ale,North American Ale,United States
Dark Walnut Stout,1316,Northwoods Brewpub Grill,0.0,American-Style Stout,North American Ale,United States
Adler BrÃ¤u Eagle Lager,1330,Appleton Brewing,0.0,American-Style Lager,North American Lager,United States
Imperial Stout,1370,New Glarus Brewing Company,0.0,American-Style Stout,North American Ale,United States
Pilsner,1452,Rock Bottom Restaurant & Brewery - Milwaukee,0.0,NA,NA,United States
Alt,1461,Old Hat Brewery,0.0,American-Style Brown Ale,North American Ale,United States
Whiskey Barrel Whitetail Cream Ale,1473,Sand Creek Brewing Company,0.0,NA,NA,United States
London Banker ESB,1478,Granite City Food & Brewery - Saint Cloud,0.0,NA,NA,United States
Griesendiech Pilsner,1499,O'Fallon Brewery,0.0,NA,NA,United States
Amber Lager,1535,Stevens Point Brewery,0.0,American-Style Lager,North American Lager,United States
"Ginger-\""slap\"" Spiced Ale",1600,Zea Rotisserie and Brewery,0.0,NA,NA,United States
Goat Toppler Mai Bock,1611,Rock Bottom Restaurant & Brewery - Chicago,0.0,Traditional German-Style Bock,German Lager,United States
Capital Brown Ale,1701,Capital Brewery,0.0,American-Style Brown Ale,North American Ale,United States
Pick Axe Pale Ale,1730,Tommyknocker Brewery and Pub,0.0,American-Style Pale Ale,North American Ale,United States
ESB,1742,Long Valley Pub & Brewery,0.0,NA,NA,United States
Harvest Wheat Beer,1763,Heartland Brewery Union Square,0.0,American-Style Lager,North American Lager,United States
Best Bitter,1783,Ship Inn Brewpub,0.0,NA,NA,United States
Apple Ale,1784,Basil T's Brew Pub and Italian Grill,0.0,Light American Wheat Ale or Lager,Other Style,United States
IPA,1809,Bellows Brew Crew,0.0,American-Style India Pale Ale,North American Ale,United States
Stout,1810,Bellows Brew Crew,0.0,American-Style Stout,North American Ale,United States
Landmark Light,1823,Great Dane Pub and Brewing #2,0.0,American-Style Lager,North American Lager,United States
Bison Brown,1846,Gaslight Brewery,5.0,American-Style Brown Ale,North American Ale,United States
Schmitz Pale Ale No. 5,1881,Moosejaw Pizza & Dells Brewing Company,4.5,American-Style Pale Ale,North American Ale,United States
Oktoberfest,1925,Granite City Food & Brewery - Saint Cloud,0.0,German-Style Oktoberfest,German Lager,United States
Framboise,1957,Green Bay Brewing,0.0,Light American Wheat Ale or Lager,Other Style,United States
Prairie Thunder Pale Ale,1972,Fitzpatrick's Brewing,0.0,American-Style Pale Ale,North American Ale,United States
Odell IPA,28,Odell Brewing,7.0,American-Style India Pale Ale,North American Ale,United States
Porter,46,Nebraska Brewing Company,0.0,Porter,Irish Ale,United States
Christmas Ale 2007,54,Anchor Brewing,0.0,NA,NA,United States
Bender Beer,59,Surly Brewing,5.0999999046,American-Style Brown Ale,North American Ale,United States
Oak Aged Ebenezer,60,Upstream Brewing Company at Legacy,9.3999996185,NA,NA,United States
Never Summer Ale,81,Boulder Beer Company,5.9400000572,Winter Warmer,Other Style,United States
Grand Cru,83,Thunderhead Brewery #2,0.0,NA,NA,United States
Irish Red,97,Nebraska Brewing Company,0.0,NA,NA,United States
Triple Dipsea Belgian,118,Marin Brewing,9.1999998093,NA,NA,United States
Cinder Cone Red,129,Deschutes Brewery,5.4000000954,American-Style Amber/Red Ale,North American Ale,United States
Danger Ale,144,Dick's Brewing,5.1999998093,American-Style Brown Ale,North American Ale,United States
Steelie Brown Ale,147,Skagit River Brewing,0.0,American-Style Brown Ale,North American Ale,United States
Certified Organic India Pale Ale,185,Eel River Brewing,7.0,American-Style Pale Ale,North American Ale,United States
Beer Town Brown,190,BridgePort Brewing,0.0,American-Style Brown Ale,North American Ale,United States
Lunar Ale,214,Boulevard Brewing Company,5.0999999046,American-Style Brown Ale,North American Ale,United States
Epiphany Ale,275,Iron Springs Pub & Brewery,5.5,American-Style Amber/Red Ale,North American Ale,United States
Irish Red Ale,990,McKenzie Brew House,0.0,NA,NA,United States
Light Lager,998,McKenzie Brew House,3.5,American-Style Lager,North American Lager,United States
Eagle Lake Pale Ale,1014,Bandana Brewery,0.0,American-Style Pale Ale,North American Ale,United States
Honey Pilsner,1060,South Shore Brewery,4.5,American-Style Lager,North American Lager,United States
Buccaneer Brown Ale,1102,Ham's Restaurant and Brewhouse,0.0,American-Style Brown Ale,North American Ale,United States
Knockadoon Irish Ale,1182,Green Mill Brewing - Saint Paul,0.0,NA,NA,United States
Gunflint Gold Ale,1185,Green Mill Brewing - Saint Paul,0.0,NA,NA,United States
Steamroller Stout,1217,On Tap Bistro & Brewery,6.0,American-Style Stout,North American Ale,United States
India Pale Ale,1231,La Jolla Brew House,0.0,American-Style Pale Ale,North American Ale,United States
Old 395 Barleywine,1247,San Diego Brewing,0.0,NA,NA,United States
Mission Gorge Porter,1248,San Diego Brewing,0.0,Porter,Irish Ale,United States
Bombshell Barleywine,1277,Port Brewing Company,9.8000001907,NA,NA,United States
Broken Keg Ice Bock,1279,Port Brewing Company,15.0,Traditional German-Style Bock,German Lager,United States
Sprecher Abbey Triple,1295,Sprecher Brewing,8.4099998474,Belgian-Style Tripel,Belgian and French Ale,United States
Half Moon Gold,1320,Northwoods Brewpub Grill,0.0,NA,NA,United States
Pseudo Lambic Framboise,1342,LaConner Brewing,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,United States
Oktoberfest,1411,Goose Island Beer Company - Fulton Street,0.0,German-Style Oktoberfest,German Lager,United States
Oktoberfest,1412,Lakefront Brewery,0.0,German-Style Oktoberfest,German Lager,United States
Edison Light Beer,1414,New Century Brewing Company,0.0,American-Style Lager,North American Lager,United States
Sprecher Oktoberfest,1416,Sprecher Brewing,5.75,German-Style Oktoberfest,German Lager,United States
Samuel Adams Triplebock 1995,1417,Boston Beer Company,0.0,NA,NA,United States
Hoptoberfest,1418,Redhook Ale Brewery,0.0,German-Style Oktoberfest,German Lager,United States
Porter,1444,Thunderhead Brewery,0.0,Porter,Irish Ale,United States
120 Shilling Scotch Ale,1459,Kuhnhenn Brewing,0.0,Scotch Ale,British Ale,United States
American Pale Ale,1464,"BBC Brewing Co., LLC",0.0,American-Style Pale Ale,North American Ale,United States
Porter,1483,Onopa Brewing,6.0,Porter,Irish Ale,United States
Red,1498,Rail House Restaurant and Brewpub,0.0,American-Style Amber/Red Ale,North American Ale,United States
Special Amber,1511,Sprecher Brewing,5.0,American-Style Lager,North American Lager,United States
The Iron Tankard,1529,Terrapin Beer Company,9.3999996185,American-Style Amber/Red Ale,North American Ale,United States
Southern Blonde,1578,Diamond Bear Brewing Co.,0.0,NA,NA,United States
Black Forest,1594,Crescent City Brewhouse,0.0,NA,NA,United States
White BiÃ¨re,1614,Stevens Point Brewery,0.0,NA,NA,United States
Dr. Hops Pale Ale,1620,Idaho Brewing,0.0,NA,NA,United States
Black Bavarian Lager,1712,Sprecher Brewing,5.8600001335,German-Style Schwarzbier,German Lager,United States
Donner Party Porter,1714,Fifty Fifty Brewing Co.,6.6999998093,Porter,Irish Ale,United States
Grist Mill Golden,1746,Long Valley Pub & Brewery,0.0,American-Style Pale Ale,North American Ale,United States
Gold,1753,Krogh's Restaurant and Brewpub,0.0,NA,NA,United States
Scottish Ale,1772,Triumph Brewing of Princeton,0.0,Scotch Ale,British Ale,United States
ESB,1782,Ship Inn Brewpub,0.0,NA,NA,United States
Yo Ho Ho Christmas Ale 2001,1790,Maritime Pacific Brewing,0.0,NA,NA,United States
Dark Ale,1806,Black Toad Brewing Company,0.0,American-Style Lager,North American Lager,United States
Old Scratch Barleywine 1997,1815,Great Dane Pub and Brewing #2,0.0,NA,NA,United States
